priority,surface,type,status,claim_state,public_url,confirmed_public_data,confirmed_issue,fix_route,checked,confidence
P1,OpenTable,Booking and dining,Corrected,Managed,https://www.opentable.co.uk/r/the-anchor-stanwell-moor,"Correct NAP, website, description, active booking inventory, Monday 16:00 to 22:00, Tuesday to Sunday 12:00 to 22:00, Gluten-free Options and Vegan","Former hours issue corrected and owner-confirmed dietary options retained",OpenTable restaurant account,2026-09-05,High
P1,Nextdoor,Local community,Corrected,Claimed and managed,https://nextdoor.co.uk/pages/the-anchor-44/,"Correct logo, current cover photo, public phone and email, official website, canonical bar hours, Pub, Restaurant and Beer Garden categories, and factual Greene King tenant description","Existing page found through Nextdoor internal search and claimed without creating a duplicate; corrected page confirmed accessible while signed out",Nextdoor managed page and signed-out public check,2026-09-05,High
P2,Foursquare,Places data,Unverified,Unknown,https://business.foursquare.com/,"Restaurant Guru reports a Foursquare signal","No public canonical venue page found",Foursquare Business Owner Portal,2026-09-04,Medium
P1,Yell,UK directory,Stale,Unclaimed,https://www.yell.com/biz/the-anchor-staines-upon-thames-4052078/,"Correct NAP, website and Facebook link","Tuesday to Thursday 16:00 opening; Friday and Saturday midnight close; weekly events wording is too broad",Yell claim or suggest edit,2026-09-04,High
P0,Cylex,UK directory and data source,Severely inaccurate,Unclaimed,https://staines.cylex-uk.co.uk/company/the-anchor-16483759.html,"Correct name, phone, website and postcode","Wrong hours; Stanwell Moor omitted; false riverside, play area, lamb and real ale claims",Cylex claim or report incorrect data,2026-09-04,High
P1,FindOpen,Cylex network,Stale,Derived,https://find-open.co.uk/staines/british-restaurants,"Correct name, street and postcode","Shows the pub opening later based on stale hours",Correct Cylex then monitor,2026-09-04,High
P3,Firmania,Cylex network,Not found,Derived,,"No exact public venue page found","Check whether a page appears after Cylex is corrected",Monitor after Cylex correction,2026-09-04,Low
P0,SquareMeal,Dining directory,Severely inaccurate,Unknown,https://www.squaremeal.co.uk/restaurants/the-anchor_29192,"Correct NAP, website, dog-friendly and garden details","False real ales and Sky Sports claims; old hours including midnight closes",SquareMeal correction or support,2026-09-04,High
P2,Restaurant Guru,Dining aggregator,Stale,Unclaimed,https://restaurantguru.com/The-Anchor-Staines-upon-Thames,"Correct phone, current Google rating and several facilities","Tuesday to Friday 16:00 opening; Stanwell Moor omitted from displayed address; old dish terms are repeated from reviews",Restaurant Guru claim or report incorrect information,2026-09-04,High
P2,CAMRA,Pub directory,Stale,Community maintained,https://camra.org.uk/pubs/anchor-stanwell-moor-159519,"Correct phone, website, no-real-ale status and core description","Old bar and food hours; public record last updated 2 March 2024",CAMRA venue feedback form,2026-09-04,High
P2,Pubs Galore,Pub directory,Partly accurate,Community maintained,https://www.pubsgalore.co.uk/pubs/27755/,"Correct address, phone, website, Facebook and working CAMRA link","Real Ale marked yes; facility records date mainly from 2017 and 2018",Pubs Galore correct details,2026-09-04,High
P0,inapub,Pub directory,Severely inaccurate,Unknown,https://www.inapub.co.uk/venues/the-anchor/stanwell-moor-staines/tw196aq/59705,"Correct current phone and postcode","Old owners, dead old site, old email, old hours and menu, false real ale, Sky Sports and TNT Sports claims",inapub correction or removal request,2026-09-04,High
P2,beerintheevening,Legacy pub directory,Severely stale,Registration email not delivered,https://www.beerintheevening.com/pubs/s/25/25823/Anchor/Stanwell_Moor,"Correct venue and postcode","Uses paid 0871 referral number, historical reviews and Middlesex label; no current first-party website shown",Direct pub-change support form prepared,2026-09-05,High
P2,Useyourlocal,Pub directory,Stale,Unknown,https://www.useyourlocal.com/pubs-in-stanwell/,"Venue appears in local results","Old live-sport and fresh-pizza description and old review total; direct control record not exposed",Useyourlocal owner or support route,2026-09-04,Medium
P0,Tabology,Ordering service,Retired,Managed,https://ordertab.menu/theanchor,"Ordering disabled; canonical public address and hours; public email manager@the-anchor.pub","Mobile Ordering and click and collect are disabled and both ordering routes refuse orders; service-time group is inactive but stores canonical hours; public info address and hours are corrected and obsolete Twitter removed; public info still shows orders@the-anchor.pub because the Venue details contact fields reject input; support ticket prepared and awaiting reCAPTCHA",Tabology Back Office signed-out checks and Tabology support ticket,2026-09-05,High
P2,Barrel and Stone,Supplier directory,Stale,Partner managed,https://www.barrelandstone.co.uk/pub/the-anchor-stanwell-moor-village/,"Correct NAP, website and pizza partnership","Old bar hours including Friday and Saturday midnight closes",Request partner correction,2026-09-04,High
P2,Lnk.bio,Owned link page,Severely stale,Owned,https://lnk.bio/7uRk,"Correct brand profile and current main links","Old BOGOF pizza, Chip Shop Friday and Sunday pre-order messages",Lnk.bio account,2026-09-04,High
P2,Facebook,Social,Partly verified,Owned,https://www.facebook.com/theanchorpubsm/,"Official page exists and is linked by the website and directories","Owner-only hours, contact fields and action buttons not fully visible in public indexing",Meta Business Suite,2026-09-04,Medium
P2,Instagram,Social,Partly verified,Owned,https://www.instagram.com/theanchor.pub/,"Official profile exists and is linked by the website","Public bio detail was not fully indexed; linked Lnk.bio page is stale",Instagram or Meta Business Suite,2026-09-04,Medium
P3,192.com,Passive directory,Incomplete,Third-party,https://www.192.com/places/tw/tw19-6/tw19-6aq/,"Correct venue, street and postcode","Middlesex label and no useful first-party contact link",Low-priority correction if supported,2026-09-04,Medium
Keep,Food Standards Agency,Official register,Accurate,Official,https://ratings.food.gov.uk/business/1110171/the-anchor-stanwell-moor,"Correct name, address, business type and inspection record","No fault found",Local authority only if official record changes,2026-09-04,High
Keep,Spelthorne Borough Council,Official passive references,Accurate,Official,https://www.spelthorne.gov.uk/sites/default/files/migration/media/15373/Route-8-Stanwell-Moor-to-Wraysbury-to-Staines-upon-Thames/pdf/Route_8_A4-2025-Full.pdf,"Correct venue, postcode and walking-route meeting point","No fault found",No action,2026-09-04,High
Keep,Heathrow community records,Official passive reference,Accurate,Official,https://www.heathrow.com/content/dam/heathrow/web/common/documents/company/local-community/heathrow-community-forums/2025/LCF-21-JAN-MINUTES.pdf,"Correct venue and address","No fault found",No action,2026-09-04,High
P2,Staines Online,Local directory,Incomplete,Unclaimed,https://stainesonline.co.uk/local-business-the-anchor-pub-spelthorne/,"Correct phone, postcode, pub category and FSA inspection link","Inherits OpenStreetMap name The Anchor Pub and locality Spelthorne; no website or hours",Correct OpenStreetMap then claim or request correction,2026-09-04,High
P1,Uber Eats,Ordering marketplace,Unverified legacy listing,Unknown,https://www.ubereats.com/gb/city/old-windsor-eng,"Indexed result exposes a New venue called The Anchor at the exact address","Current store page, menu and live ordering state could not be retrieved",Uber Eats merchant account and support,2026-09-04,Medium
P2,PubNames,Pub and events directory,Severely stale,Apparently unclaimed,https://pubnames.co.uk/pubdetail.php?id=61916,"Correct name, address, phone and postcode","Dead old website, description tied to the 2015 refurbishment, and contact form warns its stored email may be inaccurate",Manage This Listing or correction form,2026-09-04,High
P3,Top-Rated.Online,Derived review aggregator,Stale snapshot,Derived,https://www.top-rated.online/countries/United%2BKingdom/cities/Borough%2Bof%2BSpelthorne/top-rated,"Correct name, pub category and 4.6 Google-derived rating","Review count is an older 220 snapshot rather than the current 289",Monitor after Google changes,2026-09-04,High
Keep,PubWiki,Historical reference,Accurate,Independent research,https://pubwiki.co.uk/Middlesex/Stanwell/Stanwell1911census.shtml,"Accurate 1911 reference to The Anchor in Stanwell Moor","No current-business fields to correct",No action,2026-09-04,High
P2,Eventbrite,Events and organiser profile,Stale,Owned,https://www.eventbrite.com/o/the-anchor-108354381211,"Correct name, general location, current website and broad venue description","Founding date says 1866 instead of 1751 and profile links an old Facebook URL",Eventbrite organiser account,2026-09-04,High
Keep,Scores on the Doors,Food hygiene directory,Accurate,Derived,https://www.scoresonthedoors.org.uk/food-hygiene/stanwell.html,"Correct official name, address, business type and 29 October 2025 inspection date","No fault found",Monitor official FSA source,2026-09-04,High
P3,Visit Surrey,Tourism placement opportunity,Not listed,Eligibility and membership unknown,https://www.visitsurrey.com/business/,"No venue page found; members can feature on the official Surrey visitor site","Commercial placement opportunity rather than an incorrect citation",Review membership value before applying,2026-09-04,High
P3,Visit Staines,Town-centre BID directory,Not listed,Likely outside eligibility area,https://www.visitstaines.co.uk/business-directory/,"No venue listing found","The Anchor appears outside the town-centre BID area, so absence may be correct",Confirm eligibility before requesting a listing,2026-09-04,Medium
P3,Greene King pub finder,Partner consumer directory,Not found,Eligibility unknown,https://www.greeneking.co.uk/pubs-near-me?vendor=here,"No indexed venue page found","Tenant status does not prove inclusion in the consumer pub finder",Check partner data and eligibility,2026-09-04,Medium
Keep,Stanwell Moor History Group,Local historical reference,Accurate,Community maintained,https://www.stanwellmoorhistorygroup.com/gallery,"Accurate historic and 2013 photographic references to The Anchor","No fault found",No action,2026-09-04,High
Keep,Wikipedia,Encyclopaedia reference,Accurate,Community maintained,https://en.wikipedia.org/wiki/Stanwell_Moor,"Accurate passive mention of The Anchor public house in the village","No actionable business details",No action,2026-09-04,Medium
