"path","line","component","current_layer","current_visibility","decision","future_scope","target","reason","priority"
"src/app/(authenticated)/employees/new/NewEmployeeOnboardingClient.tsx","217","NewEmployeeOnboardingClient","route-local","exported","KEEP","route-local","NewEmployeeOnboardingClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/employees/new/page.tsx","7","NewEmployeePage","route-entry","exported","KEEP","route-boundary","NewEmployeePage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/employees/page.tsx","14","EmployeesPage","route-entry","exported","KEEP","route-boundary","EmployeesPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/employees/reliability/page.tsx","46","SortLink","route-entry","internal","KEEP","route-boundary","SortLink","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/employees/reliability/page.tsx","67","EmployeeReliabilityLeaderboardPage","route-entry","exported","KEEP","route-boundary","EmployeeReliabilityLeaderboardPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/error.tsx","5","AuthenticatedError","route-entry","exported","KEEP","route-boundary","AuthenticatedError","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/events/_components/BarMini.tsx","11","BarMini","route-local","exported","KEEP","route-local","BarMini","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/_components/EventBoardView.tsx","26","EventBoardView","route-local","exported","KEEP","route-local","EventBoardView","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/_components/EventCard.tsx","32","EventCard","route-local","exported","KEEP","route-local","EventCard","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/_components/EventDrawer.tsx","76","EventDrawer","route-local","exported","KEEP","route-local","EventDrawer","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/_components/EventDrawer.tsx","978","Section","route-local","internal","KEEP","route-local","Section","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/_components/EventFilterPanel.tsx","32","EventFilterPanel","route-local","exported","KEEP","route-local","EventFilterPanel","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/_components/EventListView.tsx","58","EventListView","route-local","exported","KEEP","route-local","EventListView","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/_components/EventsClient.tsx","58","EventsClient","route-local","exported","KEEP","route-local","EventsClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/_components/EventTodosWidget.tsx","18","EventTodosWidget","route-local","exported","KEEP","route-local","EventTodosWidget","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/AddManualBookingForm.tsx","49","AddManualBookingForm","route-local","exported","KEEP","route-local","AddManualBookingForm","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EditAttendeeNamesModal.tsx","21","EditAttendeeNamesModal","route-local","exported","KEEP","route-local","EditAttendeeNamesModal","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventDetailClient.tsx","165","EventDetailClient","route-local","exported","KEEP","route-local","EventDetailClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventDetailClient.tsx","787","OverviewTab","route-local","internal","KEEP","route-local","OverviewTab","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventDetailClient.tsx","859","ShortLinksTab","route-local","internal","KEEP","route-local","ShortLinksTab","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventDetailClient.tsx","944","AttendeesTab","route-local","internal","KEEP","route-local","AttendeesTab","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventDetailClient.tsx","1501","MarketingMessagesCard","route-local","internal","KEEP","route-local","MarketingMessagesCard","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventDetailClient.tsx","1564","MarketingTab","route-local","internal","KEEP","route-local","MarketingTab","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventDetailClient.tsx","1602","DetailRow","route-local","internal","KEEP","route-local","DetailRow","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventDetailClient.tsx","1624","CopyButton","route-local","internal","KEEP","route-local","CopyButton","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/EventTicketTypesCard.tsx","45","EventTicketTypesCard","route-local","exported","KEEP","route-local","EventTicketTypesCard","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/[id]/loading.tsx","3","Loading","route-entry","exported","KEEP","route-boundary","route wrapper using PageLoading","Next.js requires the route file; keep the boundary but share the loading presentation.","P1"
"src/app/(authenticated)/events/[id]/page.tsx","26","EventDetailPage","route-entry","exported","KEEP","route-boundary","EventDetailPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/events/[id]/RefundBookingDialog.tsx","31","RefundBookingDialog","route-local","exported","KEEP","route-local","RefundBookingDialog","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/loading.tsx","3","Loading","route-entry","exported","KEEP","route-boundary","route wrapper using PageLoading","Next.js requires the route file; keep the boundary but share the loading presentation.","P1"
"src/app/(authenticated)/events/page.tsx","21","EventsPage","route-entry","exported","KEEP","route-boundary","EventsPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/events/todo/_components/TodoClient.tsx","39","TodoClient","route-local","exported","KEEP","route-local","TodoClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/events/todo/page.tsx","13","EventsTodoPage","route-entry","exported","KEEP","route-boundary","EventsTodoPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/expenses/_components/ExpenseFileViewer.tsx","26","ExpenseFileViewer","route-local","exported","KEEP","route-local","ExpenseFileViewer","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/expenses/_components/ExpenseForm.tsx","54","ExpenseForm","route-local","exported","KEEP","route-local","ExpenseForm","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/expenses/_components/ExpensesClient.tsx","64","ExpensesClient","route-local","exported","KEEP","route-local","ExpensesClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/expenses/_components/ExpensesClient.tsx","453","CheckIcon","route-local","internal","MERGE","removed","Icon","Page-local copy of a repeated visual or interaction pattern.","P1"
"src/app/(authenticated)/expenses/_components/ExpensesClient.tsx","461","CrossIcon","route-local","internal","MERGE","removed","Icon","Page-local copy of a repeated visual or interaction pattern.","P1"
"src/app/(authenticated)/expenses/insights/_components/ExpensesInsightsClient.tsx","48","ExpensesInsightsClient","route-local","exported","KEEP","route-local","ExpensesInsightsClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/expenses/insights/page.tsx","14","ExpensesInsightsPage","route-entry","exported","KEEP","route-boundary","ExpensesInsightsPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/expenses/page.tsx","7","ExpensesPage","route-entry","exported","KEEP","route-boundary","ExpensesPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/feedback-inbox/FeedbackInboxClient.tsx","51","StarRating","route-local","internal","MERGE","removed","shared StarRating with read-only mode","Page-local copy of a repeated visual or interaction pattern.","P1"
"src/app/(authenticated)/feedback-inbox/FeedbackInboxClient.tsx","75","ContactCell","route-local","internal","KEEP","route-local","ContactCell","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/feedback-inbox/FeedbackInboxClient.tsx","112","FeedbackControls","route-local","internal","KEEP","route-local","FeedbackControls","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/feedback-inbox/FeedbackInboxClient.tsx","207","FeedbackRow","route-local","internal","KEEP","route-local","FeedbackRow","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/feedback-inbox/FeedbackInboxClient.tsx","234","FeedbackCard","route-local","internal","KEEP","route-local","FeedbackCard","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/feedback-inbox/FeedbackInboxClient.tsx","259","FeedbackInboxClient","route-local","exported","KEEP","route-local","FeedbackInboxClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/feedback-inbox/page.tsx","6","FeedbackInboxPage","route-entry","exported","KEEP","route-boundary","FeedbackInboxPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/_components/InvoicesClient.tsx","148","InvoicesClient","route-local","exported","KEEP","route-local","InvoicesClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/invoices/[id]/edit/page.tsx","23","EditInvoicePage","route-entry","exported","KEEP","route-boundary","EditInvoicePage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/[id]/InvoiceDetailClient.tsx","78","PreviewSection","route-local","internal","KEEP","route-local","PreviewSection","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/invoices/[id]/InvoiceDetailClient.tsx","100","EmptyPreviewMessage","route-local","internal","KEEP","route-local","EmptyPreviewMessage","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/invoices/[id]/InvoiceDetailClient.tsx","108","EntryPreviewTable","route-local","internal","KEEP","route-local","EntryPreviewTable","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/invoices/[id]/InvoiceDetailClient.tsx","159","RecurringPreviewTable","route-local","internal","KEEP","route-local","RecurringPreviewTable","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/invoices/[id]/InvoiceDetailClient.tsx","206","LineItemsPreviewTable","route-local","internal","KEEP","route-local","LineItemsPreviewTable","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/invoices/[id]/InvoiceDetailClient.tsx","233","InvoiceDetailClient","route-local","exported","KEEP","route-local","InvoiceDetailClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/invoices/[id]/page.tsx","13","InvoicePage","route-entry","exported","KEEP","route-boundary","InvoicePage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/[id]/payment/page.tsx","22","RecordPaymentPage","route-entry","exported","KEEP","route-boundary","RecordPaymentPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/catalog/page.tsx","26","LineItemCatalogPage","route-entry","exported","KEEP","route-boundary","LineItemCatalogPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/export/page.tsx","19","InvoiceExportPage","route-entry","exported","KEEP","route-boundary","InvoiceExportPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/loading.tsx","3","Loading","route-entry","exported","KEEP","route-boundary","route wrapper using PageLoading","Next.js requires the route file; keep the boundary but share the loading presentation.","P1"
"src/app/(authenticated)/invoices/MobileInvoiceCard.tsx","22","MobileInvoiceCard","route-local","exported","KEEP","route-local","MobileInvoiceCard","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/invoices/new/page.tsx","37","NewInvoicePage","route-entry","exported","KEEP","route-boundary","NewInvoicePage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/page.tsx","55","InvoicesPage","route-entry","exported","KEEP","route-boundary","InvoicesPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/recurring/[id]/edit/page.tsx","21","EditRecurringInvoicePage","route-entry","exported","KEEP","route-boundary","EditRecurringInvoicePage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/recurring/[id]/page.tsx","21","RecurringInvoiceDetailPage","route-entry","exported","KEEP","route-boundary","RecurringInvoiceDetailPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/recurring/new/page.tsx","22","NewRecurringInvoicePage","route-entry","exported","KEEP","route-boundary","NewRecurringInvoicePage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/recurring/page.tsx","21","RecurringInvoicesPage","route-entry","exported","KEEP","route-boundary","RecurringInvoicesPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/vendors/page.tsx","22","PrimaryContactCell","route-entry","internal","KEEP","route-boundary","PrimaryContactCell","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/invoices/vendors/page.tsx","81","VendorsPage","route-entry","exported","KEEP","route-boundary","VendorsPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/layout.tsx","46","Layout","route-entry","exported","KEEP","route-boundary","Layout","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/menu-management/_components/EditableCurrencyCell.tsx","14","EditableCurrencyCell","route-local","exported","KEEP","route-local","EditableCurrencyCell","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/_components/MenuDishesTable.tsx","281","MenuDishesTable","route-local","exported","KEEP","route-local","MenuDishesTable","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/_components/MenuManagementClient.tsx","137","MenuManagementClient","route-local","exported","KEEP","route-local","MenuManagementClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/_components/StatusToggleCell.tsx","13","StatusToggleCell","route-local","exported","KEEP","route-local","StatusToggleCell","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/CompositionRow.tsx","188","IngredientCompositionRow","route-local","exported","KEEP","route-local","IngredientCompositionRow","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/CompositionRow.tsx","452","RecipeCompositionRow","route-local","exported","KEEP","route-local","RecipeCompositionRow","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishCompositionTab.tsx","247","DishCompositionTab","route-local","exported","KEEP","route-local","DishCompositionTab","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishCompositionTab.tsx","496","CostBreakdownFooter","route-local","internal","KEEP","route-local","CostBreakdownFooter","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishCompositionTab.tsx","645","Row","route-local","internal","KEEP","route-local","Row","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishDrawer.tsx","53","DishDrawer","route-local","exported","KEEP","route-local","DishDrawer","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishExpandedRow.tsx","127","DishExpandedRow","route-local","exported","KEEP","route-local","DishExpandedRow","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishGpAnalysisTab.tsx","78","DishGpAnalysisTab","route-local","exported","KEEP","route-local","DishGpAnalysisTab","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishGpAnalysisTab.tsx","586","CombinationsSection","route-local","internal","KEEP","route-local","CombinationsSection","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishMenusTab.tsx","50","DishMenusTab","route-local","exported","KEEP","route-local","DishMenusTab","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/_components/DishOverviewTab.tsx","47","DishOverviewTab","route-local","exported","KEEP","route-local","DishOverviewTab","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/dishes/page.tsx","184","MenuDishesPage","route-entry","exported","KEEP","route-boundary","MenuDishesPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/menu-management/ingredients/_components/IngredientDietaryFlagsCell.tsx","29","IngredientDietaryFlagsCell","route-local","exported","KEEP","route-local","IngredientDietaryFlagsCell","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/ingredients/_components/IngredientDrawer.tsx","207","IngredientDrawer","route-local","exported","KEEP","route-local","IngredientDrawer","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/ingredients/_components/IngredientExpandedRow.tsx","63","IngredientExpandedRow","route-local","exported","KEEP","route-local","IngredientExpandedRow","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/ingredients/_components/PriceHistoryPopover.tsx","25","PriceHistoryPopover","route-local","exported","KEEP","route-local","PriceHistoryPopover","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/ingredients/page.tsx","232","MenuIngredientsPage","route-entry","exported","KEEP","route-boundary","MenuIngredientsPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/menu-management/page.tsx","3","MenuManagementPage","route-entry","exported","KEEP","route-boundary","MenuManagementPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/menu-management/recipes/_components/RecipeDrawer.tsx","112","RecipeDrawer","route-local","exported","KEEP","route-local","RecipeDrawer","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/recipes/_components/RecipeExpandedRow.tsx","66","RecipeExpandedRow","route-local","exported","KEEP","route-local","RecipeExpandedRow","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/recipes/_components/RecipeIngredientRow.tsx","77","RecipeIngredientRow","route-local","exported","KEEP","route-local","RecipeIngredientRow","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/menu-management/recipes/page.tsx","125","MenuRecipesPage","route-entry","exported","KEEP","route-boundary","MenuRecipesPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/messages/_components/MessagesClient.tsx","120","MessagesClient","route-local","exported","KEEP","route-local","MessagesClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/messages/bulk/BulkMessagesClient.tsx","70","BulkMessagesClient","route-local","exported","KEEP","route-local","BulkMessagesClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/messages/bulk/page.tsx","25","BulkMessagesPage","route-entry","exported","KEEP","route-boundary","BulkMessagesPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/messages/holding/_components/HoldingQueueActions.tsx","25","HoldingQueueActions","route-local","exported","KEEP","route-local","HoldingQueueActions","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/messages/holding/page.tsx","23","HoldingQueuePage","route-entry","exported","KEEP","route-boundary","HoldingQueuePage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/messages/page.tsx","5","MessagesPage","route-entry","exported","KEEP","route-boundary","MessagesPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/mgd/_components/CollectionForm.tsx","23","CollectionForm","route-local","exported","KEEP","route-local","CollectionForm","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/mgd/_components/MgdClient.tsx","109","MgdClient","route-local","exported","KEEP","route-local","MgdClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/mgd/_components/MgdClient.tsx","692","MachineCountField","route-local","internal","KEEP","route-local","MachineCountField","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
